step,transaction_id,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,country,hour,isFraud
0,TXN0000000,PAYMENT,660.78,C5614226,111605.37,110944.59,M5108603,148133.55,109073.31,MX,21,0
1,TXN0000001,CASH_OUT,185.58,C1533224,46847.62,46662.04,C1499914,39767.53,129976.89,US,19,0
2,TXN0000002,CASH_OUT,893.71,C4698379,294632.84,293739.13,C8536477,31931.86,84522.88,GB,0,0
3,TXN0000003,PAYMENT,5146.44,C4612365,51105.14,45958.7,M6647119,169498.87,120745.21,US,11,0
4,TXN0000004,DEBIT,153.19,C8707870,62413.08,62259.89,C9996414,110408.13,165880.93,UA,2,0
5,TXN0000005,CASH_OUT,153.2,C7067228,352285.92,352132.72,C4226067,197044.3,171063.54,US,7,0
6,TXN0000006,DEBIT,5758.46,C7377459,226705.15,220946.69,C5663623,74036.19,41901.41,DE,5,0
7,TXN0000007,PAYMENT,1135.55,C2197935,267069.94,265934.39,M3871230,75891.09,197904.67,US,14,0
8,TXN0000008,CASH_OUT,95.68,C4684531,421425.96,421330.28,C6440561,161009.16,80232.96,GB,7,0
9,TXN0000009,PAYMENT,724.24,C6279418,327719.33,326995.09,M4567281,91770.37,52976.03,US,20,0
10,TXN0000010,PAYMENT,96.85,C5408072,448911.44,448814.59,M8187926,199465.16,27666.35,US,7,0
11,TXN0000011,TRANSFER,96.4,C1790481,76420.66,76324.26000000001,C2839607,12705.54,76323.86,US,21,0
12,TXN0000012,CASH_IN,397.0,C9877065,485539.19,485142.19,C5218028,136056.68,22910.35,DE,0,0
13,TXN0000013,DEBIT,5.33,C5476583,55776.09,55770.759999999995,C6707197,649.06,144418.41,NG,14,0
14,TXN0000014,CASH_OUT,7.77,C9398441,253840.84,253833.07,C3997281,127789.9,121794.04,US,20,0
15,TXN0000015,PAYMENT,79.47,C3710343,459246.75,459167.28,M9897858,3895.35,185819.72,CN,15,0
